Year,Month,Day,Y
2013,9,16,37.642586
2013,9,17,37.262356
2013,9,18,36.787071
2013,9,23,37.262356
2013,9,24,37.262356
2013,9,25,38.070343
2013,9,26,37.452473
2013,9,27,37.167301
2013,9,30,36.977184
2013,10,1,36.834599
2013,10,2,36.739544
2013,10,3,36.929657
2013,10,4,36.977184
2013,10,7,36.596958
2013,10,8,36.264259
2013,10,9,35.266159
2013,10,11,33.365021
2013,10,14,32.319389
2013,10,15,32.652092
2013,10,16,32.557034
2013,10,17,33.269962
2013,10,18,33.555134
2013,10,21,33.079845
2013,10,22,33.31749
2013,10,23,33.222431
2013,10,24,33.269962
2013,10,25,35.598858
2013,10,28,35.598858
2013,10,29,35.028519
2013,10,30,34.885929
2013,10,31,34.648289
2013,11,1,34.410645
2013,11,4,33.840305
2013,11,5,33.127377
2013,11,6,32.794678
2013,11,7,32.984791
2013,11,8,32.604561
2013,11,11,30.323193
2013,11,12,29.372623
2013,11,13,28.754751
2013,11,14,29.134979
2013,11,15,29.087452
2013,11,18,28.897339
2013,11,19,29.277567
2013,11,20,29.46768
2013,11,21,30.180609
2013,11,22,29.990494
2013,11,25,29.990494
2013,11,26,30.180609
2013,11,27,30.370722
2013,11,28,30.988592
2013,11,29,31.178707
2013,12,2,31.939163
2013,12,3,32.319389
2013,12,4,31.749048
2013,12,5,32.319389
2013,12,6,32.36692
2013,12,9,32.984791
2013,12,10,32.604561
2013,12,11,32.034222
2013,12,12,31.844107
2013,12,13,31.606462
2013,12,16,31.463879
2013,12,17,31.558935
2013,12,18,30.75095
2013,12,19,30.418249
2013,12,20,30.798479
2013,12,23,32.937263
2013,12,24,35.218632
2013,12,25,35.646385
2013,12,26,35.551331
2013,12,27,35.266159
2013,12,30,36.454372
2013,12,31,36.169201
2014,1,2,35.884029
2014,1,3,36.264259
2014,1,6,38.11787
2014,1,7,37.357414
2014,1,8,37.975285
2014,1,9,37.880226
2014,1,10,38.11787
2014,1,13,37.11977
2014,1,14,36.739544
2014,1,15,37.5
2014,1,16,36.787071
2014,1,17,36.739544
2014,1,20,37.357414
2014,1,21,37.642586
2014,1,22,37.357414
2014,1,23,37.595058
2014,1,24,37.072243
2014,1,27,35.741444
2014,2,5,35.171101
2014,2,6,35.646385
2014,2,7,35.551331
2014,2,10,36.074142
2014,2,11,38.593155
2014,2,12,41.254753
2014,2,13,43.393536
2014,2,14,43.441063
2014,2,17,43.536121
2014,2,18,46.577946
2014,2,19,48.003803
2014,2,20,47.05323
2014,2,21,47.148289
2014,2,24,45.627377
2014,2,25,47.05323
2014,2,26,46.530418
2014,2,27,45.532318
2014,3,3,45.389732
2014,3,4,47.528519
2014,3,5,47.05323
2014,3,6,50.285172
2014,3,7,52.94677
2014,3,10,55.893536
2014,3,11,54.18251
2014,3,12,54.562737
2014,3,13,53.707226
2014,3,14,54.657795
2014,3,17,54.657795
2014,3,18,54.087452
2014,3,19,51.806084
2014,3,20,50.380226
2014,3,21,49.429657
2014,3,24,48.859314
2014,3,25,50.855515
2014,3,26,50.380226
2014,3,27,50
2014,3,28,49.809883
2014,3,31,50.855515
2014,4,1,50.570343
2014,4,2,50.855515
2014,4,3,53.517109
2014,4,7,53.231937
2014,4,8,53.231937
2014,4,9,53.707226
2014,4,10,57.414448
2014,4,11,57.034222
2014,4,14,55.228134
2014,4,15,56.74905
2014,4,16,56.558933
2014,4,17,57.889732
2014,4,18,57.509506
2014,4,21,57.414448
2014,4,22,61.406845
2014,4,23,65.68441
2014,4,24,70.152092
2014,4,25,75
2014,4,28,74.714828
2014,4,29,79.942963
2014,4,30,75.095055
2014,5,2,76.806084
2014,5,5,77.281364
2014,5,6,75.950569
2014,5,7,81.178703
2014,5,8,86.787071
2014,5,9,89.163498
2014,5,12,93.155891
2014,5,13,96.482887
2014,5,14,92.775665
2014,5,15,95.532318
2014,5,16,98.384033
2014,5,19,105.038025
2014,5,20,112.167297
2014,5,21,119.771866
2014,5,22,127.851707
2014,5,23,136.406845
2014,5,26,145.912552
2014,5,27,155.893539
2014,5,28,155.893539
2014,5,29,160.171097
2014,5,30,156.844101
2014,6,3,167.775665
2014,6,4,179.18251
2014,6,5,191.539917
2014,6,6,178.231934
2014,6,9,165.874527
2014,6,10,162.547531
2014,6,11,151.615967
2014,6,12,152.091248
2014,6,13,162.547531
2014,6,16,159.695816
2014,6,17,163.973389
2014,6,18,152.566544
2014,6,19,160.646393
2014,6,20,156.844101
2014,6,23,145.912552
2014,6,24,155.893539
2014,6,25,159.695816
2014,6,26,170.62738
2014,6,27,180.608368
2014,6,30,175.855515
2014,7,1,177.756653
2014,7,2,182.509506
2014,7,3,190.114075
2014,7,4,203.422058
2014,7,7,217.205322
2014,7,8,202.471481
2014,7,9,202.471481
2014,7,10,188.688217
2014,7,11,175.855515
2014,7,14,180.133072
2014,7,15,169.201523
2014,7,16,157.794678
2014,7,17,146.863113
2014,7,18,144.486694
2014,7,21,134.505707
2014,7,22,143.536118
2014,7,23,143.536118
2014,7,24,153.517105
2014,7,25,158.745255
2014,7,28,152.091248
2014,7,29,162.547531
2014,7,30,151.615967
2014,7,31,153.041824
2014,8,1,147.338409
2014,8,4,145.437256
2014,8,5,146.387833
2014,8,6,144.011414
2014,8,7,136.882126
2014,8,8,136.882126
2014,8,11,145.437256
2014,8,12,144.486694
2014,8,13,149.239548
2014,8,14,151.140686
2014,8,15,144.486694
2014,8,18,136.882126
2014,8,19,142.11026
2014,8,20,132.604568
2014,8,21,136.406845
2014,8,22,136.406845
2014,8,25,135.931564
2014,8,26,145.437256
2014,8,27,155.418243
2014,8,28,157.319397
2014,8,29,158.745255
2014,9,1,169.676804
2014,9,2,170.62738
2014,9,3,170.62738
2014,9,4,167.775665
2014,9,5,171.102661
2014,9,9,168.250946
2014,9,10,166.349808
2014,9,11,167.300385
2014,9,12,160.646393
2014,9,15,159.695816
2014,9,16,156.844101
2014,9,17,167.775665
2014,9,18,179.18251
2014,9,19,169.201523
2014,9,22,161.596954
2014,9,23,166.825089
2014,9,24,163.498093
2014,9,25,160.646393
2014,9,26,151.140686
2014,9,29,155.893539
2014,9,30,156.844101
2014,10,1,154.942963
2014,10,2,155.418243
2014,10,3,157.794678
2014,10,6,157.794678
2014,10,7,153.041824
2014,10,8,149.239548
2014,10,9,144.486694
2014,10,13,136.406845
2014,10,14,138.783264
2014,10,15,135.456268
2014,10,16,140.684402
2014,10,17,131.653992
2014,10,20,132.129272
2014,10,21,132.129272
2014,10,22,131.653992
2014,10,23,128.326996
2014,10,24,126.425858
2014,10,27,117.87072
2014,10,28,125
2014,10,29,130.228134
2014,10,30,127.851707
2014,10,31,132.129272
2014,11,3,129.752853
2014,11,4,129.752853
2014,11,5,124.049431
2014,11,6,117.87072
2014,11,7,125.950569
2014,11,10,124.524712
2014,11,11,121.673004
2014,11,12,123.098862
2014,11,13,123.574142
2014,11,14,131.653992
2014,11,17,128.326996
2014,11,18,126.901138
2014,11,19,125.475288
2014,11,20,134.030411
2014,11,21,139.25856
2014,11,24,137.832703
2014,11,25,147.338409
2014,11,26,157.319397
2014,11,27,158.745255
2014,11,28,159.695816
2014,12,1,167.300385
2014,12,2,168.250946
2014,12,3,179.657791
2014,12,4,174.904938
2014,12,5,174.904938
2014,12,8,168.250946
2014,12,9,161.596954
2014,12,10,162.547531
2014,12,11,165.399246
2014,12,12,163.973389
2014,12,15,169.201523
2014,12,16,166.349808
2014,12,17,164.448669
2014,12,18,163.973389
2014,12,19,152.566544
2014,12,22,154.942963
2014,12,23,153.992401
2014,12,24,164.448669
2014,12,25,165.399246
2014,12,26,166.349808
2014,12,29,166.825089
2014,12,30,167.300385
2014,12,31,163.498093
2015,1,5,166.825089
2015,1,6,163.973389
2015,1,7,165.399246
2015,1,8,162.547531
2015,1,9,161.596954
2015,1,12,157.794678
2015,1,13,157.794678
2015,1,14,159.220535
2015,1,15,156.36882
2015,1,16,152.566544
2015,1,19,148.764252
2015,1,20,155.893539
2015,1,21,152.566544
2015,1,22,153.517105
2015,1,23,152.566544
2015,1,26,154.942963
2015,1,27,153.992401
2015,1,28,153.992401
2015,1,29,149.714828
2015,1,30,150.190109
2015,2,2,148.288971
2015,2,3,147.81369
2015,2,4,150.190109
2015,2,5,150.190109
2015,2,6,148.288971
2015,2,9,148.288971
2015,2,10,144.961975
2015,2,11,145.912552
2015,2,12,145.437256
2015,2,13,145.437256
2015,2,24,147.81369
2015,2,25,157.794678
2015,2,26,161.121674
2015,3,2,163.498093
2015,3,3,160.646393
2015,3,4,164.448669
2015,3,5,163.022812
2015,3,6,163.022812
2015,3,9,174.429657
2015,3,10,174.429657
2015,3,11,180.133072
2015,3,12,180.133072
2015,3,13,178.231934
2015,3,16,181.558929
2015,3,17,177.756653
2015,3,18,184.885925
2015,3,19,197.718628
2015,3,20,200.570343
2015,3,23,203.897339
2015,3,24,209.125473
2015,3,25,199.619766
2015,3,26,201.520905
2015,3,27,201.520905
2015,3,30,193.441071
2015,3,31,197.718628
2015,4,1,199.619766
2015,4,2,197.243347
2015,4,7,198.669205
2015,4,8,195.81749
2015,4,9,188.212921
2015,4,10,179.657791
2015,4,13,176.330795
2015,4,14,186.311783
2015,4,15,184.410645
2015,4,16,180.133072
2015,4,17,178.231934
2015,4,20,179.18251
2015,4,21,170.152084
2015,4,22,174.429657
2015,4,23,179.657791
2015,4,24,179.657791
2015,4,27,178.70723
2015,4,28,175.855515
2015,4,29,176.806076
2015,4,30,175.380234
2015,5,4,163.498093
2015,5,5,164.448669
2015,5,6,163.498093
2015,5,7,152.091248
2015,5,8,148.764252
2015,5,11,138.783264
2015,5,12,144.961975
2015,5,13,147.81369
2015,5,14,143.060837
2015,5,15,140.209122
2015,5,18,136.882126
2015,5,19,146.387833
2015,5,20,154.942963
2015,5,21,152.091248
2015,5,22,151.140686
2015,5,25,157.794678
2015,5,26,162.547531
2015,5,27,160.171097
2015,5,28,161.596954
2015,5,29,165.399246
2015,6,1,163.022812
2015,6,2,167.775665
2015,6,3,165.399246
2015,6,4,161.596954
2015,6,5,164.448669
2015,6,8,166.349808
2015,6,9,154.942963
2015,6,10,166.349808
2015,6,11,182.984787
2015,6,12,188.212921
2015,6,15,183.460083
2015,6,16,184.410645
2015,6,17,182.509506
2015,6,18,184.410645
2015,6,22,193.916351
2015,6,23,188.688217
2015,6,24,189.163498
2015,6,25,188.212921
2015,6,26,206.749054
2015,6,29,227.18631
2015,6,30,249.524719
2015,7,1,248.574142
2015,7,2,263.307983
2015,7,3,256.653992
2015,7,6,230.988586
2015,7,7,211.501907
2015,7,8,190.589355
2015,7,9,189.638779
